INFO  2020-11-09 19:09:26,254 [7    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 9711.1056ms 200 text/html; charset=utf-8
INFO  2020-11-09 19:09:26,382 [9    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/libs/font-awesome/css/all.min.css?v=-N4_V_SbAFiW1MPBCXnfnP9QSN3-Keu-NlB-0ev_YKQ  
INFO  2020-11-09 19:09:26,417 [12   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/libs/font-awesome/css/all.min.css'. Physical path: 'C:\Users\Lenova\source\repos\Armut\5.8.1\aspnet-core\src\Armut.Web.Mvc\wwwroot\libs\font-awesome\css\all.min.css'
INFO  2020-11-09 19:09:26,421 [12   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 38.5121ms 200 text/css
INFO  2020-11-09 19:09:26,440 [14   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/libs/icheck-bootstrap/icheck-bootstrap.css?v=nGN1DgpDTrAS3DS7E5J0cL-gblWBKAMSoU_LSuY8gu8  
INFO  2020-11-09 19:09:26,445 [14   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/libs/icheck-bootstrap/icheck-bootstrap.css'. Physical path: 'C:\Users\Lenova\source\repos\Armut\5.8.1\aspnet-core\src\Armut.Web.Mvc\wwwroot\libs\icheck-bootstrap\icheck-bootstrap.css'
INFO  2020-11-09 19:09:26,448 [14   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 7.7984ms 200 text/css
INFO  2020-11-09 19:09:26,462 [14   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/libs/admin-lte/dist/css/adminlte.min.css?v=tDEOZyJ9BuKWB-BOSc6dE4cI0uNznodJMx11eWZ7jJ4  
INFO  2020-11-09 19:09:26,470 [14   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/libs/toastr/toastr.css?v=He3QEBKoL_nMXlVsoM7S2C2kjFQqS5L-mgA-F8LpG-U  
INFO  2020-11-09 19:09:26,474 [12   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/libs-ext/famfamfam-flags/dist/sprite/famfamfam-flags.min.css?v=D9O-28vCF-qJh2qZSFIXxXc30hTED8RmnKeZRyvVEpA  
INFO  2020-11-09 19:09:26,478 [14   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/libs/toastr/toastr.css'. Physical path: 'C:\Users\Lenova\source\repos\Armut\5.8.1\aspnet-core\src\Armut.Web.Mvc\wwwroot\libs\toastr\toastr.css'
INFO  2020-11-09 19:09:26,480 [14   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 10.3876ms 200 text/css
INFO  2020-11-09 19:09:26,486 [9    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/libs/admin-lte/dist/css/adminlte.min.css'. Physical path: 'C:\Users\Lenova\source\repos\Armut\5.8.1\aspnet-core\src\Armut.Web.Mvc\wwwroot\libs\admin-lte\dist\css\adminlte.min.css'
